Country	Country ISO3	Country Code	Long Name	Income Group	Lending Category	Region	Currency Unit	Other Groups	WTO Member	latitude	longitude
Hong Kong	HKG	344	Hong Kong Special Administrative Region of the People's Republic of China	High income: nonOECD		East Asia & Pacific	Hong Kong dollar		Yes	22.396428	114.109497
Hungary	HUN	348	Hungary	High income: OECD		Europe & Central Asia	Hungarian forint		Yes	47.162494	19.503304
Iceland	ISL	352	Republic of Iceland	High income: OECD		Europe & Central Asia	Iceland krona		Yes	64.963051	-19.020835
India	IND	356	Republic of India	Lower middle income	IBRD	South Asia	Indian rupee		Yes	20.593684	78.96288
Indonesia	IDN	360	Republic of Indonesia	Lower middle income	IBRD	East Asia & Pacific	Indonesian rupiah		Yes	-0.789275	113.921327
Iran, Islamic Rep.	IRN	364	Islamic Republic of Iran	Upper middle income	IBRD	Middle East & North Africa	Iranian rial		No		
Iraq	IRQ	368	Republic of Iraq	Upper middle income	IBRD	Middle East & North Africa	Iraqi dinar		No	33.223191	43.679291
Ireland	IRL	372	Ireland	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	53.41291	-8.24389
Israel	ISR	376	State of Israel	High income: OECD		Middle East & North Africa	Israeli new shekel		Yes	31.046051	34.851612
Italy	ITA	380	Italian Republic	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	41.87194	12.56738
Jamaica	JAM	388	Jamaica	Upper middle income	IBRD	Latin America & Caribbean	Jamaican dollar		Yes	18.109581	-77.297508
Japan	JPN	392	Japan	High income: OECD		East Asia & Pacific	Japanese yen		Yes	36.204824	138.252924
Jordan	JOR	400	Hashemite Kingdom of Jordan	Upper middle income	IBRD	Middle East & North Africa	Jordanian dinar		Yes	30.585164	36.238414
Kazakhstan	KAZ	398	Republic of Kazakhstan	Upper middle income	IBRD	Europe & Central Asia	Kazakh tenge		No	48.019573	66.923684
Kenya	KEN	404	Republic of Kenya	Lower middle income	IDA	Sub-Saharan Africa	Kenyan shilling		Yes	-0.023559	37.906193
Kiribati	KIR	296	Republic of Kiribati	Lower middle income	IDA	East Asia & Pacific	Australian dollar		No	-3.370417	-168.734039
Kuwait	KWT	414	State of Kuwait	High income: nonOECD		Middle East & North Africa	Kuwaiti dinar		Yes	29.31166	47.481766
Kyrgyz Republic	KGZ	417	Kyrgyz Republic	Lower middle income	IDA	Europe & Central Asia	Kyrgyz som	HIPC	Yes		
Laos	LAO	418	Lao People's Democratic Republic	Lower middle income	IDA	East Asia & Pacific	Lao kip		No	19.85627	102.495496
Latin America & Caribbean	LCN	LCN	Latin America & Caribbean (all income levels)	Others							
Latin America & Caribbean	LCN	LCN	Latin America & Caribbean (all income levels)	Others							
Latvia	LVA	428	Republic of Latvia	High income: nonOECD		Europe & Central Asia	Euro	Euro area	Yes	56.879635	24.603189
Lebanon	LBN	422	Lebanese Republic	Upper middle income	IBRD	Middle East & North Africa	Lebanese pound		No	33.854721	35.862285
Lesotho	LSO	426	Kingdom of Lesotho	Lower middle income	IDA	Sub-Saharan Africa	Lesotho loti		Yes	-29.609988	28.233608
Liberia	LBR	430	Republic of Liberia	Low income	IDA	Sub-Saharan Africa	Liberian dollar	HIPC	No	6.428055	-9.429499
Libya	LBY	434	Socialist People's Libyan Arab Jamahiriya	Upper middle income	IBRD	Middle East & North Africa	Libyan dinar		No	26.3351	17.228331
Lithuania	LTU	440	Republic of Lithuania	High income: nonOECD		Europe & Central Asia	Euro	Euro area	Yes	55.169438	23.881275
Luxembourg	LUX	442	Grand Duchy of Luxembourg	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	49.815273	6.129583
Macao	MAC	446	Macao Special Administrative Region of the People's Republic of China	High income: nonOECD		East Asia & Pacific	Macao pataca		Yes		
